repo_name,clone_url,description,created_at,updated_at,stargazers_count,forks_count,watchers_count,open_issues_count,size,language,license,has_wiki,has_pages,topics,contributors_count,commits_count,quality_assessment
Tasshack/dreame-vacuum,https://github.com/Tasshack/dreame-vacuum.git,Home Assistant integration for Dreame robot vacuums with map support,2022-10-02T12:59:19Z,2025-10-17T19:27:41Z,1482,191,1482,26,83875,Python,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",False,False,"['app', 'automation', 'cloud', 'dreame', 'dreamehome', 'dreametech', 'hacs', 'home-assistant', 'homeassistant', 'integration', 'map', 'mi-home', 'miio', 'robot', 'vacuum', 'vacuum-map', 'xiaomi']",2,2,"{'overall_score': 0.524, 'component_scores': {'popularity': 0.774, 'activity': 0.4, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
LinwoodDev/Butterfly,https://github.com/LinwoodDev/Butterfly.git,"🎨 Powerful, minimalistic, cross-platform, opensource note-taking app",2020-12-21T08:47:28Z,2025-10-18T22:06:52Z,1469,108,1469,48,84409,Dart,"{'key': 'agpl-3.0', 'name': 'GNU Affero General Public License v3.0', 'spdx_id': 'AGPL-3.0', 'url': 'https://api.github.com/licenses/agpl-3.0', 'node_id': 'MDc6TGljZW5zZTE='}",False,False,"['android', 'app', 'cross-platform', 'customizable', 'dart', 'dartlang', 'drawing', 'flutter', 'linux', 'note', 'note-taking', 'notes', 'notes-app', 'onenote', 'opensource', 'productivity', 'web', 'windows', 'writing']",2,2,"{'overall_score': 0.519, 'component_scores': {'popularity': 0.753, 'activity': 0.401, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
jonjomckay/fritter,https://github.com/jonjomckay/fritter.git,A privacy-friendly Twitter frontend for mobile devices,2021-02-02T21:32:37Z,2025-10-16T08:36:46Z,1440,91,1440,166,5419,Dart,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,False,"['android', 'app', 'ios', 'twitter']",2,2,"{'overall_score': 0.606, 'component_scores': {'popularity': 0.745, 'activity': 0.397, 'code_quality': 0.8, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Good'}"
yulimchen/vue3-h5-template,https://github.com/yulimchen/vue3-h5-template.git,"🌱 A ready-to-use mobile project base template built with the Vue3, Vant, and Vite. | 基于 Vue3、Vite5、TypeScript/JavaScript、Tailwindcss、Vant4，开箱即用的移动端项目基础模板",2019-12-05T12:17:33Z,2025-10-18T03:44:58Z,1397,315,1397,4,7071,TypeScript,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,True,"['app', 'demo', 'eruda', 'h5', 'i18n', 'iconify', 'javascript', 'js', 'mobile', 'pinia', 'starter', 'tailwindcss', 'template', 'ts', 'typescript', 'vant', 'vite', 'vmin', 'vue', 'vue3']",2,2,"{'overall_score': 0.617, 'component_scores': {'popularity': 0.786, 'activity': 0.399, 'code_quality': 0.8, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Good'}"
sindresorhus/System-Color-Picker,https://github.com/sindresorhus/System-Color-Picker.git,🎨 The macOS color picker as an app with more features,2021-05-05T11:24:11Z,2025-10-16T01:22:30Z,1364,66,1364,11,133,,,False,False,"['app', 'color-picker', 'macos', 'macos-app', 'swift', 'swiftui']",1,2,"{'overall_score': 0.524, 'component_scores': {'popularity': 0.73, 'activity': 0.397, 'code_quality': 0.8, 'community': 0.045, 'maintenance': 0.5}, 'quality_tier': 'Average'}"
ItsPi3141/alpaca-electron,https://github.com/ItsPi3141/alpaca-electron.git,The simplest way to run Alpaca (and other LLaMA-based local LLMs) on your own computer,2023-03-24T21:26:54Z,2025-10-14T20:06:10Z,1311,145,1311,34,16444,JavaScript,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",True,False,"['ai', 'alpaca', 'alpaca-electron', 'app', 'chat', 'chatgpt', 'dalai', 'docker', 'electron', 'electron-app', 'linux', 'llama', 'macos', 'ui', 'webui', 'windows']",2,2,"{'overall_score': 0.548, 'component_scores': {'popularity': 0.754, 'activity': 0.397, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
likeadmin-likeshop/likeshop,https://github.com/likeadmin-likeshop/likeshop.git,🔥🔥🔥 likeshop开源免费商用电商系统，PC商城、H5商城、小程序商城、安卓APP商城、苹果APP商城，免费商用。场景：B2C商城，新零售商城，社交电商商城，分销系统商城，分销电商商城，小程序商城，商城源码，商城系统，单商户，多商户，电商系统，直播，uniapp，uni-app，B2B2C，B2B，O2O，ERP，Wechat，交易系统，内容系统，雷达，crm,2021-01-09T03:06:14Z,2025-10-16T02:42:49Z,1269,290,1269,10,83699,PHP,"{'key': 'apache-2.0', 'name': 'Apache License 2.0', 'spdx_id': 'Apache-2.0', 'url': 'https://api.github.com/licenses/apache-2.0', 'node_id': 'MDc6TGljZW5zZTI='}",True,False,"['android', 'app', 'b2c', 'docker', 'ios', 'likeshop', 'node', 'php', 'shop', 'thinkphp', 'uniapp', 'vue', 'wechat', 'wechat-app', 'wechat-mini-program', 'wechat-pay']",2,2,"{'overall_score': 0.554, 'component_scores': {'popularity': 0.776, 'activity': 0.397, 'code_quality': 0.5, 'community': 0.071, 'maintenance': 1.0}, 'quality_tier': 'Average'}"
marchellodev/sharik,https://github.com/marchellodev/sharik.git,"Sharik is an open-source, cross-platform solution for sharing files via Wi-Fi or Mobile Hotspot",2020-02-18T19:01:02Z,2025-10-18T21:38:15Z,1245,114,1245,67,7167,Dart,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",False,False,"['android', 'app', 'cross-platform', 'file-sharing', 'flutter', 'linux', 'macos', 'windows']",2,2,"{'overall_score': 0.576, 'component_scores': {'popularity': 0.742, 'activity': 0.401, 'code_quality': 0.8, 'community': 0.071, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
zhiyiYo/Fluent-M3U8,https://github.com/zhiyiYo/Fluent-M3U8.git,A cross-platform m3u8/mpd downloader based on PySide6 and QFluentWidgets.,2025-02-05T06:52:14Z,2025-10-18T20:16:48Z,1230,73,1230,14,3174,Python,"{'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}",False,False,"['app', 'dash', 'fluent', 'gui', 'live', 'm3u8', 'm3u8-downloader', 'mpd', 'pyside', 'pyside6', 'qt']",1,2,"{'overall_score': 0.569, 'component_scores': {'popularity': 0.725, 'activity': 0.404, 'code_quality': 0.8, 'community': 0.045, 'maintenance': 0.8}, 'quality_tier': 'Average'}"
ClaudiuGeorgiu/Obfuscapk,https://github.com/ClaudiuGeorgiu/Obfuscapk.git,"An automatic obfuscation tool for Android apps that works in a black-box fashion, supports advanced obfuscation features and has a modular architecture easily extensible with new techniques",2019-08-15T12:13:29Z,2025-10-18T23:52:57Z,1208,301,1208,0,7438,Python,"{'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}",False,False,"['android', 'apk', 'apktool', 'app', 'application', 'black-box', 'obfuscapk', 'obfuscation', 'smali']",2,2,"{'overall_score': 0.637, 'component_scores': {'popularity': 0.773, 'activity': 0.4, 'code_quality': 0.8, 'community': 0.421, 'maintenance': 0.8}, 'quality_tier': 'Good'}"
